"Ins_Age","BMI","Medical_History_1","Exposure","Predicted_Freq"
0,0.471356418940409,7.70815841289891,1,0.0277275561985558
0.01,0.471356418940409,7.70815841289891,1,0.0283074776730292
0.02,0.471356418940409,7.70815841289891,1,0.0288995281975403
0.03,0.471356418940409,7.70815841289891,1,0.0295039614510117
0.04,0.471356418940409,7.70815841289891,1,0.0301210364180573
0.05,0.471356418940409,7.70815841289891,1,0.0307510174999508
0.06,0.471356418940409,7.70815841289891,1,0.031394174627915
0.07,0.471356418940409,7.70815841289891,1,0.0320507833787809
0.08,0.471356418940409,7.70815841289891,1,0.032721125093065
0.09,0.471356418940409,7.70815841289891,1,0.0334054869955174
0.1,0.471356418940409,7.70815841289891,1,0.0341041623181899
0.11,0.471356418940409,7.70815841289891,1,0.0348174504260786
0.12,0.471356418940409,7.70815841289891,1,0.0355456569453949
0.13,0.471356418940409,7.70815841289891,1,0.0362890938945182
0.14,0.471356418940409,7.70815841289891,1,0.0370480798176884
0.15,0.471356418940409,7.70815841289891,1,0.0378229399214938
0.16,0.471356418940409,7.70815841289891,1,0.0386140062142143
0.17,0.471356418940409,7.70815841289891,1,0.0394216176480788
0.18,0.471356418940409,7.70815841289891,1,0.0402461202644974
0.19,0.471356418940409,7.70815841289891,1,0.0410878673423317
0.2,0.471356418940409,7.70815841289891,1,0.0419472195492664
0.21,0.471356418940409,7.70815841289891,1,0.0428245450963457
0.22,0.471356418940409,7.70815841289891,1,0.0437202198957433
0.23,0.471356418940409,7.70815841289891,1,0.0446346277218309
0.24,0.471356418940409,7.70815841289891,1,0.0455681603756161
0.25,0.471356418940409,7.70815841289891,1,0.0465212178526196
0.26,0.471356418940409,7.70815841289891,1,0.0474942085142631
0.27,0.471356418940409,7.70815841289891,1,0.0484875492628421
0.28,0.471356418940409,7.70815841289891,1,0.0495016657201582
0.29,0.471356418940409,7.70815841289891,1,0.0505369924098871
0.3,0.471356418940409,7.70815841289891,1,0.051593972943762
0.31,0.471356418940409,7.70815841289891,1,0.0526730602116492
0.32,0.471356418940409,7.70815841289891,1,0.0537747165756009
0.33,0.471356418940409,7.70815841289891,1,0.0548994140679654
0.34,0.471356418940409,7.70815841289891,1,0.0560476345936416
0.35,0.471356418940409,7.70815841289891,1,0.0572198701365629
0.36,0.471356418940409,7.70815841289891,1,0.0584166229705
0.37,0.471356418940409,7.70815841289891,1,0.0596384058742734
0.38,0.471356418940409,7.70815841289891,1,0.0608857423514655
0.39,0.471356418940409,7.70815841289891,1,0.0621591668547295
0.4,0.471356418940409,7.70815841289891,1,0.0634592250147888
0.41,0.471356418940409,7.70815841289891,1,0.0647864738742261
0.42,0.471356418940409,7.70815841289891,1,0.0661414821261626
0.43,0.471356418940409,7.70815841289891,1,0.0675248303579285
0.44,0.471356418940409,7.70815841289891,1,0.0689371112998305
0.45,0.471356418940409,7.70815841289891,1,0.070378930079122
0.46,0.471356418940409,7.70815841289891,1,0.0718509044792847
0.47,0.471356418940409,7.70815841289891,1,0.073353665204734
0.48,0.471356418940409,7.70815841289891,1,0.0748878561510596
0.49,0.471356418940409,7.70815841289891,1,0.0764541346809193
0.5,0.471356418940409,7.70815841289891,1,0.0780531719057021
0.51,0.471356418940409,7.70815841289891,1,0.0796856529730831
0.52,0.471356418940409,7.70815841289891,1,0.0813522773605917
0.53,0.471356418940409,7.70815841289891,1,0.0830537591753209
0.54,0.471356418940409,7.70815841289891,1,0.0847908274599042
0.55,0.471356418940409,7.70815841289891,1,0.0865642265048922
0.56,0.471356418940409,7.70815841289891,1,0.0883747161676626
0.57,0.471356418940409,7.70815841289891,1,0.090223072198
0.58,0.471356418940409,7.70815841289891,1,0.092110086570486
0.59,0.471356418940409,7.70815841289891,1,0.0940365678238397
0.6,0.471356418940409,7.70815841289891,1,0.0960033414073575
0.61,0.471356418940409,7.70815841289891,1,0.0980112500345963
0.62,0.471356418940409,7.70815841289891,1,0.100061154044457
0.63,0.471356418940409,7.70815841289891,1,0.102153931769816
0.64,0.471356418940409,7.70815841289891,1,0.104290479913871
0.65,0.471356418940409,7.70815841289891,1,0.106471713934355
0.66,0.471356418940409,7.70815841289891,1,0.10869856843579
0.67,0.471356418940409,7.70815841289891,1,0.110971997569935
0.68,0.471356418940409,7.70815841289891,1,0.113292975444623
0.69,0.471356418940409,7.70815841289891,1,0.115662496541139
0.7,0.471356418940409,7.70815841289891,1,0.118081576140333
0.71,0.471356418940409,7.70815841289891,1,0.120551250757637
0.72,0.471356418940409,7.70815841289891,1,0.123072578587192
0.73,0.471356418940409,7.70815841289891,1,0.125646639955257
0.74,0.471356418940409,7.70815841289891,1,0.128274537783096
0.75,0.471356418940409,7.70815841289891,1,0.130957398059562
0.76,0.471356418940409,7.70815841289891,1,0.133696370323546
0.77,0.471356418940409,7.70815841289891,1,0.136492628156532
0.78,0.471356418940409,7.70815841289891,1,0.139347369685445
0.79,0.471356418940409,7.70815841289891,1,0.142261818096019
0.8,0.471356418940409,7.70815841289891,1,0.145237222156901
0.81,0.471356418940409,7.70815841289891,1,0.148274856754718
0.82,0.471356418940409,7.70815841289891,1,0.151376023440335
0.83,0.471356418940409,7.70815841289891,1,0.154542050986535
0.84,0.471356418940409,7.70815841289891,1,0.157774295957368
0.85,0.471356418940409,7.70815841289891,1,0.161074143289401
0.86,0.471356418940409,7.70815841289891,1,0.164443006885133
0.87,0.471356418940409,7.70815841289891,1,0.167882330218815
0.88,0.471356418940409,7.70815841289891,1,0.171393586954943
0.89,0.471356418940409,7.70815841289891,1,0.174978281579685
0.9,0.471356418940409,7.70815841289891,1,0.17863795004552
0.91,0.471356418940409,7.70815841289891,1,0.182374160429351
0.92,0.471356418940409,7.70815841289891,1,0.18618851360439
0.93,0.471356418940409,7.70815841289891,1,0.190082643926091
0.94,0.471356418940409,7.70815841289891,1,0.194058219932432
0.95,0.471356418940409,7.70815841289891,1,0.198116945058837
0.96,0.471356418940409,7.70815841289891,1,0.202260558368065
0.97,0.471356418940409,7.70815841289891,1,0.206490835295346
0.98,0.471356418940409,7.70815841289891,1,0.210809588409115
0.99,0.471356418940409,7.70815841289891,1,0.215218668187654
1,0.471356418940409,7.70815841289891,1,0.219719963811972
